start	end	text
0	4040	a la presidencia y eso es sumamente importante.
4040	10040	Sin duda alguna que esta noche todos, absolutamente todos en el país, están expectantes.
10040	13040	Ustedes del otro lado de la pantalla, ¿no?
13040	16040	En Bolivia, después de 20 años, Juan Carlos.
16040	18040	Hola Cecilia, buenas noches.
18040	20040	Buenas noches, país.
20040	23040	Estamos listos, la expectativa está marcada y no sabe cómo.
23040	25040	Porque esta es noche de debate.
25040	28040	Después de 20 años, señoras y señores, si.
28080	30080	Ustedes del otro lado de la pantalla,
30080	32080	está expectante en lo que va a ocurrir esta noche.
32080	35080	Quienes decidieron decirle sí al debate, están aquí.
35080	37080	Y ustedes esta noche los van a escuchar.
37080	39080	Pero van a estar conectados a nosotros.
39080	41080	Marilin Morales, ¿cómo le va?
41080	43080	Muy buenas noches desde redes sociales
43080	46080	con todos los mensajes y todas nuestras plataformas.
46080	48080	Hola Cecilia, Juan Carlos.
48080	50080	Muy buenas noches.
50080	52080	Un saludo grande a todo el país.
52080	54080	Usted lo mencionaba.
54080	57080	Este espacio, la población es la protagonista.
57120	60120	Porque nosotros tenemos ya una pregunta planteada.
60120	63120	Para que usted pueda interactuar con nosotros en este.
63120	65120	El primer gran debate presidencial
65120	67120	a través de la pantalla de la red.
67120	69120	Uno de Bolivia en este operativo, uno de Sídi.
69120	71120	Vamos a leer a continuación.
71120	73120	La pregunta que tenemos en esta oportunidad.
73120	76120	¿Quién será el próximo presidente de Bolivia?
76120	78120	Usted puede interactuar con nosotros
78120	81120	a través de nuestras redes sociales de la red 1.
81120	83120	Ya estamos listos.
83120	85120	Arrancamos.
85160	87160	Marilin, nosotros esta noche.
91160	93160	Esto es lo que se está viviendo
93160	95160	en la señal abierta de la red 1 de Bolivia.
95160	98160	Y antes de despedir a Yello que nos acompañó,
98160	100160	le agradecemos mucho.
100160	102160	Yello verá experto en redes sociales
102160	104160	y marketing político.
104160	106160	¿Cuáles son los beneficios de los políticos
106160	109160	hoy en día al utilizar las redes para sus campañas?
109160	111160	Los beneficios son que pueden llegar
111160	113160	a las personas mucho más rápido.
113200	115200	Los beneficios son que tienen muchos canales
115200	117200	y muchas plataformas al mismo tiempo.
117200	119200	Y creo que también lo hace mucho más personal.
119200	121200	Le acerca al votante
121200	123200	y le acerca a la persona de a pie
123200	125200	que tiene el celular en la mano.
125200	127200	¿Qué le dice a los candidatos?
127200	129200	Que vean bien sus estrategias.
129200	131200	No estamos en una época donde la gente
131200	133200	quiere verlos bailar.
133200	135200	Queremos ver soluciones
135200	137200	y si bien el ticto que está lleno de bailes,
137200	139200	creo que podemos utilizarlo mucho mejor.
139200	141200	Muchísimas gracias Yello Vera
141240	143240	que todavía nos quedamos
143240	145240	siguiendo de cerca este primer debate
145240	147240	presidencial en la reto no de Bolivia.
147240	149240	Gracias.
149240	151240	Seguimos, establecemos el contacto nuevamente
151240	153240	con la señal abierta.
153240	155240	Muy bien informado y sabiendo
155240	157240	qué le propone su candidato.
157240	159240	Por ello nosotros queremos agradecer
159240	161240	esta noche y la predisposición
161240	163240	de todos y de cada uno de los candidatos
163240	165240	que han dicho si me presento
165240	167240	voy a debatir, le voy a hablar el país
167240	169240	y voy a explicar lo que prometo
169280	171280	efectivamente en el marco de lo que serán
171280	173280	estas elecciones presidenciales
173280	175280	2025.
175280	177280	Pero esta noche Cecilia amigos,
177280	179280	el candidato responde
179280	181280	pero el candidato también pregunta
181280	183280	le vamos a mostrar a continuación
183280	185280	lo que hemos preparado desde la producción
185280	187280	de Uno Decide, el reglamento
187280	189280	del debate de Uno Decide
189280	191280	lo conoce a continuación usted.
191280	193280	Reglamento del debate
193280	195280	la dinámica del debate
195280	197280	funciona bajo el siguiente formato
197320	199320	y cuatro rondas de preguntas cruzadas
199320	201320	la ubicación de los atriles
201320	203320	el orden de intervención
203320	205320	y las rondas de preguntas fueron definidas
205320	207320	mediante sorteo notariado
207320	209320	con presencia de los delegados
209320	211320	de cada frente político.
211320	213320	Presentación del candidato
213320	215320	en el comienzo, cada candidato
215320	217320	desde su atril, contará con un minuto libre
217320	219320	para su presentación con cronómetro visible
219320	221320	en pantalla.
221320	223320	Finalizar las presentaciones, iniciamos
223320	225320	el eje de economía.
225360	227360	Cada candidato dispondrá de tres minutos
227360	229360	para exponer su propuesta económica.
229360	231360	Finalizada su intervención,
231360	233360	los demás candidatos tendrán 15 segundos
233360	235360	para formular una pregunta
235360	237360	al candidato expositor.
237360	240360	El candidato consultado responderá en 45 segundos.
240360	242360	Luego de esta respuesta,
242360	244360	cada candidato que preguntó
244360	246360	tendrá 30 segundos adicionales
246360	248360	para hacer uso de réplica
248360	250360	al candidato expositor.
250360	252360	De esta manera, el expositor tendrá 30 segundos adicionales
252360	254360	para el uso de su derecho a duplica.
254400	256400	Desarrollando un ciclo de
256400	258400	una pregunta, una respuesta,
258400	260400	una réplica y una duplica.
260400	262400	Esta dinámica se repite por cada candidato
262400	265400	y no podrá ser alterada por ningún motivo.
265400	267400	Todos preguntan, todos responden.
267400	269400	Rondas de preguntas cruzadas.
269400	271400	En este bloque se desarrollarán
271400	273400	cuatro rondas de preguntas,
273400	275400	respuestas, réplicas y duplicas.
275400	277400	Cada candidato podrá dirigir
277400	279400	una pregunta con temática libre
279400	281400	al postulante de su elección
281440	283440	con una duración máximo de 15 segundos.
283440	285440	El candidato consultado responderá
285440	287440	en 45 segundos.
287440	289440	El autor de la pregunta
289440	291440	podrá hacer una réplica de 30 segundos
291440	293440	y el candidato aludido cerrará
293440	295440	con una duplica también de 30 segundos.
295440	297440	Todos preguntan,
297440	299440	todos responden.
299440	301440	Cierre del debate.
301440	303440	Para finalizar este espacio democrático,
303440	305440	cada candidato dispondrá
305440	307440	de un minuto para despedirse de la audiencia.
307440	309440	Desde el centro del escenario.
311440	313440	¡Suscríbete!
317440	319440	Ahí está, el reglamento queda claro
319440	321440	y como usted ha podido observar,
321440	323440	el tiempo es sumamente importante.
323440	325440	Esta noche nosotros comenzamos de esta manera.
325440	327440	Yo sé que usted lo está esperando
327440	329440	del otro lado de la pantalla.
329440	331440	Comenzamos de esta manera.
331440	333440	Acompáñenos, arranca el primer debate presidencial
333440	335440	en la red 1 de Bolivia.
335440	337440	Uno decide.
341440	344440	1.
344440	347440	2.
347440	350440	3.
350440	353440	4.
353440	356440	5.
356440	359440	6.
359440	362440	7.
362440	365440	8.
365440	368440	9.
368480	370480	9.
370480	372480	9.
372480	374480	9.
374480	376480	9.
376480	378480	9.
378480	380480	9.
380480	382480	9.
382480	384480	Muy buenas noches a todos.
384480	386480	Candidatos, gracias por estar aquí.
386480	388480	Gracias a todos.
388480	390480	Gracias a cada uno de ustedes
390480	392480	por aceptar, efectivamente,
392480	394480	contribuir a este espacio democrático.
394480	396480	Porque debatirle hace bien a la democracia.
396520	398520	La red 1 de Bolivia.
398520	400520	Estamos convencidos de que es así Juan Carlos.
400520	402520	Y por eso, efectivamente,
402520	404520	organizamos este primer debate.
404520	406520	Queremos aclarar que los han ingresado
406520	408520	y que van a hacer uso de la palabra
408520	410520	de acuerdo a un sorteo previo
410520	412520	que estuvo notaria.
412520	414520	Exactamente, es el orden establecido
414520	416520	de participación esta noche.
416520	418520	Es muy importante.
418520	420520	Usted lo acaba de ver en el reglamento de debates
420520	422520	y le vamos a recordar también,
422520	424520	claro, lo conocen los candidatos.
424560	426560	Y en este tiempo, así es que Cecilia,
426560	428560	apelamos a su poder de resumen
428560	430560	para poder explicarle al país
430560	432560	y responder también
432560	434560	a las consultas que se tienen.
434560	436560	Según este sorteo,
436560	438560	este sorteo que se ha hecho previamente
438560	440560	de forma notariada
440560	442560	y los candidatos están totalmente de acuerdo,
442560	444560	el primero en intervenir para presentarse
444560	446560	al país es el candidato
446560	448560	Johnny Fernández
448560	450560	de la Alianza La Fuerza del Pueblo.
450560	452560	Todos y cada uno de los candidatos
452600	454600	tiene un minuto para presentarse.
454600	456600	Candidato Fernández, buenas noches.
456600	458600	Muy buenas noches, Bolivia.
458600	460600	Buenas noches a todos los hermanos
460600	462600	que están en todo el territorio nacional.
462600	464600	Hoy es un día muy especial.
464600	466600	Porque hoy nos dan la oportunidad
466600	468600	de decirles a ustedes
468600	470600	lo que ustedes querían
470600	472600	que transmitamos
472600	474600	ese abandono,
474600	476600	esa situación difícil por la que pasan
476600	478600	miles de bolivianos.
478600	480600	El caminar es recorrer los barrios,
480640	482640	el campo hemos aprendido
482640	484640	y también hemos recogido
484640	486640	todas sus necesidades.
486640	488640	Y hoy vamos a plasmar
488640	490640	en un proyecto
490640	492640	en este plan
492640	494640	que es para reactivar la economía
494640	496640	para vivir mejor, pero sobre todo.
496640	498640	Venimos con la fe puesta
498640	500640	de que esta constitución
500640	502640	tiene que respetar los derechos
502640	504640	de todos los ciudadanos,
504640	506640	que esta constitución
506640	508640	debe ser respetada por todos nosotros
508680	510680	y que nosotros lleguemos a el gobierno
510680	512680	y la reformemos.
512680	514680	Hay que darle seguridad jurídica,
514680	516680	seguridad laboral,
516680	518680	seguridad para el trabajo a nuestros queridos vecinos.
518680	520680	Gracias.
520680	522680	Muchísimas gracias al candidato Johnny Fernández.
522680	524680	Vamos con el saludo y la presentación
524680	526680	del candidato de la Alianza Libre
526680	528680	porque de Tuto Quiroga, adelante Tuto.
528680	530680	Buenas noches, Bolivianos.
530680	532680	Seis semanas.
532680	534680	Seis, cinco, cuatro, tres,
534680	536680	dos, uno, votación.
537680	539680	Tenemos el destino del país
539680	541680	en nuestras manos.
541680	543680	Os seguimos como estamos los últimos 20 años
543680	545680	con la crisis cada día más grave,
545680	547680	con la platita, el ingreso
547680	549680	que no alcanza cuando vamos al mercado
549680	551680	sin diésel, sin gasolina,
551680	553680	sin dólares,
553680	555680	con los jóvenes perdiendo la esperanza
555680	557680	o cambiamos de rumbo
557680	559680	dramáticamente para responder
559680	561680	a las angustias de las familias bolivianas
561680	563680	y mostrarles
563680	565680	un futuro con esperanza.
565680	567680	Está en nuestras manos
567680	569680	el 17 de agosto.
569680	571680	De aquí a seis semanas estoy convencido
571680	573680	que vamos a juntos
573680	575680	darle un rumbo diferente
575680	577680	a nuestro país para las familias bolivianas.
577680	579680	Y que ese 17 de agosto
579680	581680	nosotros como servidores
581680	583680	con ustedes como mandantes
583680	585680	vamos a decirle a Bolivia
585680	587680	es ya libre este suelo
587680	589680	por los siglos de los siglos amén.
589680	591680	Muchas gracias.
591680	593680	Es tiempo de saludar el candidato
593680	595680	Samuel Doria Medina.
595680	597680	Buenas noches, bienvenido.
597680	599680	Muy buenas noches.
599680	601680	Estoy muy contento de estar aquí
601680	603680	con todos ustedes.
603680	605680	Bolivia está viviendo la peor crisis
605680	607680	económica en los últimos 40 años.
607680	609680	Y esto se debe
609680	611680	a que el modelo del más
611680	613680	se ha agotado totalmente.
613680	615680	Y la pregunta fundamental
615680	617680	de esta elección es
617680	619680	quién tiene
619680	621680	el liderazgo
621680	623680	y la propuesta
623680	625680	el plan para sacar a Bolivia
625680	627680	de esta crisis.
627680	629680	Necesitamos
629680	631680	un cambio muy profundo.
631680	633680	Un cambio profundo donde
633680	635680	no solamente
635680	637680	podamos
637680	639680	dejar de lado a los políticos
639680	641680	tradicionales que ya tuvieron su oportunidad
641680	643680	si no tengamos un liderazgo
643680	645680	nuevo que haga las cosas
645680	647680	diferentes para tener resultados
647680	649680	diferentes.
649680	651680	Es un empresario
651680	653680	que tengo más hechos que palabras
653680	655680	y tengo un plan
655680	657680	para salir de esta crisis
657680	659680	en 100 días carajo.
659680	661680	Muchísimas gracias al candidato.
661680	663680	Continuamos con las presentaciones.
663680	665680	Es turno del candidato
665680	667680	de la Organización Política Súmate
667680	669680	Manfred Reyes Sevilla.
669680	671680	Buenas noches.
671680	673680	Buenas noches querida familia boliviana
673680	675680	de los 9 departamentos.
675680	677680	El día de hoy un día muy importante
677680	679680	una visión de ex presidentes
679680	681680	ex ministros que ya
681680	683680	tuvieron la oportunidad y no lo lograron.
683680	685680	Miren en la
685680	687680	situación en la que se encuentra nuestra querida bolivia.
687680	689680	Pero nunca perdamos la esperanza.
689680	691680	Yo vengo de seis gestiones
691680	693680	exitosas de alcalde
693680	695680	y de gobernador.
695680	697680	Estoy convencido de lograr una transformación profunda
697680	699680	de nuestra querida bolivia.
699680	701680	He jurado tres veces
701680	703680	defender a nuestra patria.
703680	705680	He sido desterrado por Evo Morales
705680	707680	Se tenía que estar 11 años afuera.
707680	709680	Sin embargo, he retornado
709680	711680	a mi querida bolivia para luchar.
711680	713680	Para convertir a nuestra querida bolivia
713680	715680	en una bolivia rica.
715680	717680	Una bolivia con oportunidades.
717680	719680	En una bolivia donde
719680	721680	ustedes se sientan orgullosos
721680	723680	de ser bolivianos
723680	725680	y vamos a buscar la reconciliación
725680	727680	y la unidad nacional.
727680	729680	Muchísimas gracias
729680	731680	y es tiempo de darle la bienvenida
731680	733680	al candidato del Movimiento al Socialismo
733680	735680	en el guardo del Castillo.
735680	737680	Buenas noches candidatos, bienvenido adelante.
737680	739680	Muy buenas noches
739680	741680	saludar a todas y cada una
741680	743680	de las familias bolivianas
743680	745680	que se encuentran en sus hogares,
745680	747680	en sus fuentes de trabajo.
